Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_05	Library_06	Library_13	Library_14	Library_21	Library_22	Library_29	Library_30	Library_38
URS0000019E12_10116:rRNA:Rattus_norvegicus	12S-rRNA	1196	2394	2390	886	7586	2225	2402	820	186	865	393	834	2842	781	1655	645	3925	2391	139
URS00000351A9_10116:rRNA:Rattus_norvegicus	16S-rRNA	36059	31348	37180	22505	50289	17998	48876	14899	3274	24151	13235	17899	37501	10021	27625	8235	34268	34133	5333
URS00000382E0_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	73	29	187	67	231	73	289	145	8
URS0000043A04_10116:rRNA:Rattus_norvegicus	NA	1060	2255	2127	774	7356	2150	2228	697	177	716	350	809	2779	737	1543	607	3742	2298	131
URS000005149C_10116:rRNA:Rattus_norvegicus	16S-rRNA	91045	79480	60097	37040	125693	32494	127908	26352	10649	60098	28360	106381	112878	17324	47692	15149	67204	75250	23011
URS000006A105_10116:rRNA:Rattus_norvegicus	16S-rRNA	35872	31125	37168	22443	49836	17872	48160	14881	3274	23926	13136	17452	37030	10003	27604	8215	34053	33950	5351
URS0000070986_10116:rRNA:Rattus_norvegicus	NA	1087	963	1643	858	2382	1762	2773	2042	627	1405	5368	1867	1404	8952	10779	22069	10208	3072	55703
URS00000C0F0F_10116:rRNA:Rattus_norvegicus	NA	15	8	19	4	5	8	11	2	8	3	23	1	3	36	17	166	41	23	24
URS00000C930E_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	76	28	187	67	236	74	292	148	9
URS00000EB250_10116:rRNA:Rattus_norvegicus	5S-rRNA	118	15	68	18	29	33	56	55	4	30	246	9	11	281	236	627	316	236	630
URS00000F446C_10116:rRNA:Rattus_norvegicus	NA	3	2	12	1	1	2	4	2	0	1	26	1	1	125	13	135	58	10	34
URS00000F8D11_10116:rRNA:Rattus_norvegicus	18S-rRNA	17	10	18	7	13	7	5	23	4	4	35	38	3	96	46	411	86	26	764
URS00000F9D45_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	8655	918	908	12136	8641	22184	16409	6060	19643
URS0000114737_10116:rRNA:Rattus_norvegicus	16S-rRNA	82081	73472	45477	33020	115588	28370	117539	23675	10275	56690	27002	105355	103924	14737	41235	12065	58213	69864	22430
