Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_07	Library_08	Library_15	Library_16	Library_23	Library_24	Library_31	Library_32	Library_39	Library_40
URS0000019E12_10116:rRNA:Rattus_norvegicus	12S-rRNA	1196	2394	2390	886	7586	2225	2402	820	186	865	254	519	674	1118	60	14	357	1009	199	494
URS00000351A9_10116:rRNA:Rattus_norvegicus	16S-rRNA	36059	31348	37180	22505	50289	17998	48876	14899	3274	24151	2696	6632	12839	19748	1445	253	8387	4645	6171	6736
URS00000382E0_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	23	45	72	122	3	2	64	29	39	37
URS0000043A04_10116:rRNA:Rattus_norvegicus	NA	1060	2255	2127	774	7356	2150	2228	697	177	716	245	499	662	1040	58	12	329	993	175	491
URS000005149C_10116:rRNA:Rattus_norvegicus	16S-rRNA	91045	79480	60097	37040	125693	32494	127908	26352	10649	60098	7554	11439	32982	39368	2946	385	16275	6788	17658	24820
URS000006A105_10116:rRNA:Rattus_norvegicus	16S-rRNA	35872	31125	37168	22443	49836	17872	48160	14881	3274	23926	2693	6628	12790	19620	1442	253	8368	4644	6148	6725
URS0000070986_10116:rRNA:Rattus_norvegicus	NA	1087	963	1643	858	2382	1762	2773	2042	627	1405	35284	12290	21609	3653	5385	625	12548	22136	7548	9755
URS00000C0F0F_10116:rRNA:Rattus_norvegicus	NA	15	8	19	4	5	8	11	2	8	3	81	17	54	23	4	3	24	47	31	32
URS00000C930E_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	22	44	75	122	3	2	64	29	40	37
URS00000EB250_10116:rRNA:Rattus_norvegicus	5S-rRNA	118	15	68	18	29	33	56	55	4	30	403	182	229	120	42	9	147	555	274	120
URS00000F446C_10116:rRNA:Rattus_norvegicus	NA	3	2	12	1	1	2	4	2	0	1	51	25	53	43	3	1	32	54	26	12
URS00000F8D11_10116:rRNA:Rattus_norvegicus	18S-rRNA	17	10	18	7	13	7	5	23	4	4	364	117	243	42	72	4	140	342	36	66
URS00000F9D45_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	6719	12203	18736	5253	964	317	8955	19980	3528	4213
URS0000114737_10116:rRNA:Rattus_norvegicus	16S-rRNA	82081	73472	45477	33020	115588	28370	117539	23675	10275	56690	6803	9093	29626	35872	2798	361	13625	5628	17074	24225
URS0000121DBD_10116:rRNA:Rattus_norvegicus	NA	3	2	12	1	1	3	2	3	1	1	87	42	100	46	3	2	41	62	27	22
URS0000129B9F_10116:rRNA:Rattus_norvegicus	5S-rRNA	1290	1706	1936	1248	2033	940	1706	1294	125	946	7128	12566	19104	5446	1020	323	9196	20574	3684	4419
URS000012BFBF_10116:rRNA:Rattus_norvegicus	NA	621	548	1008	312	805	547	1210	739	170	475	23361	11302	26319	5714	1610	332	10208	21732	7199	9265
URS0000184DE3_10116:rRNA:Rattus_norvegicus	5S-rRNA	1302	1714	2026	1269	2045	986	1660	1309	118	942	6804	12326	18905	5326	971	317	9011	20212	3551	4255
URS00001AFCBA_10116:rRNA:Rattus_norvegicus	16S-rRNA	80803	72273	42516	31894	109816	26983	111904	22295	10110	54537	6068	7880	26914	34166	2692	296	12849	4856	16278	22661
URS00001C1BDA_10116:rRNA:Rattus_norvegicus	28S-rRNA	212	117	366	194	480	272	846	371	188	108	4678	2158	3966	1406	521	47	2664	5601	1086	1085
URS00001C66FD_10116:rRNA:Rattus_norvegicus	5S-rRNA	297	27	145	47	63	82	150	124	11	64	442	204	265	151	47	11	182	608	312	135
URS00001CAE00_10116:rRNA:Rattus_norvegicus	NA	770	340	1087	350	1021	709	1226	1452	246	552	9074	5717	12751	1938	1291	194	4157	8983	2227	3754
URS00001CFD3C_10116:rRNA:Rattus_norvegicus	16S-rRNA	16318	13606	22162	9509	20258	7350	28537	5786	834	10168	1642	3592	6319	8222	393	130	4553	1916	2546	4753
URS00001D9CDD_10116:rRNA:Rattus_norvegicus	16S-rRNA	36031	31316	37187	22545	50201	17997	49201	14888	3276	24257	2706	6626	12829	19712	1451	253	8367	4646	6192	6789
URS00001E528E_10116:rRNA:Rattus_norvegicus	NA	13184	9427	21774	7414	18839	8263	27237	6673	798	8114	1772	4313	7677	8977	502	132	4576	2627	2228	2788
URS00001F5E2D_10116:rRNA:Rattus_norvegicus	NA	1245	413	1694	379	945	709	1212	1398	225	677	28183	7528	16493	4041	1820	278	6601	13154	4508	4943
URS0000233767_10116:rRNA:Rattus_norvegicus	18S-rRNA	300	118	363	134	293	338	622	116	60	245	6233	2242	4746	1009	291	169	2196	2810	1446	2539
URS0000246A92_10116:rRNA:Rattus_norvegicus	NA	138	88	246	53	122	50	108	278	61	63	8009	5822	12115	3736	901	138	6264	15539	4566	3000
URS0000252518_10116:rRNA:Rattus_norvegicus	16S-rRNA	68712	63803	22358	24560	94070	20548	79314	17314	9502	46987	4471	4378	20660	26114	2338	172	9022	2953	14168	18537
URS00002E0D1E_10116:rRNA:Rattus_norvegicus	12S-rRNA	1001	1954	1911	718	5566	1711	1894	711	143	687	186	374	535	860	52	12	303	777	163	308
URS00002E5414_10116:rRNA:Rattus_norvegicus	12S-rRNA	1218	2397	2434	888	7609	2232	2480	825	187	872	261	527	698	1127	60	14	363	1010	202	515
URS0000315E21_10116:rRNA:Rattus_norvegicus	NA	1740	932	2679	1233	3075	2424	5728	4149	675	1844	53288	31726	51522	11749	9326	1212	35094	46331	11466	35408
URS000032987A_10116:rRNA:Rattus_norvegicus	NA	2	2	12	1	1	2	1	4	0	1	152	37	143	48	7	1	20	316	124	56
URS00003C1820_10116:rRNA:Rattus_norvegicus	12S-rRNA	1027	2265	2064	776	7288	2111	2130	727	177	737	236	475	612	1011	57	12	304	977	176	468
URS00003E4DE0_10116:rRNA:Rattus_norvegicus	NA	8983	5805	16764	4273	13242	6473	11665	21640	3891	6801	568332	190855	419816	69544	71146	6208	180707	406404	89310	115101
URS00003ECA53_10116:rRNA:Rattus_norvegicus	NA	96	144	627	92	198	74	82	255	62	132	7880	1593	3108	985	233	71	1272	2900	847	691
