"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOT00000075682.1-ENSRNOG00000046365.1:protein_coding",37.3803901761206,2.72155986001424,0.720489612947474,89.6572558992502,2.59520948918925e-19,1.04509086129651e-15
"ENSRNOT00000061417.4-ENSRNOG00000039969.4:protein_coding",15.3069100029017,2.22475780686216,0.990685486680019,79.6211643089231,3.70078159064475e-17,4.39784847519797e-14
"ENSRNOT00000082891.1-ENSRNOG00000039969.4:protein_coding",15.3069100029017,2.22475780686216,0.990685486680019,79.6211643089231,3.70078159064475e-17,4.39784847519797e-14
"ENSRNOT00000064643.1-ENSRNOG00000020544.5:protein_coding",51.3462526923504,1.60377659603649,0.657660585943826,79.1793825031248,4.60305633934381e-17,4.39784847519797e-14
"ENSRNOT00000077651.1-ENSRNOG00000055371.1:protein_coding",102.464371293975,1.66685157680068,0.49927922211663,78.8334889588118,5.4604525393568e-17,4.39784847519797e-14
"ENSRNOT00000085362.1-ENSRNOG00000057701.1:protein_coding",15.1979075078369,2.01432317208855,1.01571414122016,77.097339050123,1.28680473240235e-16,8.63660442897375e-14
"ENSRNOT00000051590.2-ENSRNOG00000010235.6:protein_coding",23.2677867399442,1.5004875605994,1.0820137648038,74.9905881354894,3.64018806798413e-16,2.09414819282459e-13
"ENSRNOT00000011380.8-ENSRNOG00000008616.8:protein_coding",196.396805034355,0.950206136559937,0.454726870409466,73.1211928964925,9.15626766023849e-16,4.60903623347255e-13
"ENSRNOT00000065043.3-ENSRNOG00000015021.7:protein_coding",74.3852743366495,1.72324216429628,0.521159240036784,72.7958357869561,1.07504347331682e-15,4.81022229671871e-13
"ENSRNOT00000092388.1-ENSRNOG00000052296.2:protein_coding",18.7589799007677,1.08168815080333,0.68370878873042,72.3783072045383,1.32091606089802e-15,4.8357536156694e-13
"ENSRNOT00000092413.1-ENSRNOG00000052296.2:processed_transcript",18.7589799007677,1.08168815080333,0.68370878873042,72.3783072045383,1.32091606089802e-15,4.8357536156694e-13
"ENSRNOT00000085191.1-ENSRNOG00000052296.2:protein_coding",18.7135377497608,1.08179711086495,0.684191346740638,72.1027480803501,1.51323317744207e-15,5.07815833796602e-13
"ENSRNOT00000006672.7-ENSRNOG00000025970.6:pseudogene",6.99053457324648,0.245600955692988,1.13726330851664,70.5945401652192,3.18377424924378e-15,9.8623530013113e-13
"ENSRNOT00000088104.1-ENSRNOG00000020239.6:protein_coding",72.429533697438,1.68273571996516,0.529262051425835,69.8306275029179,4.6400834972008e-15,1.23788457264543e-12
"ENSRNOT00000076511.2-ENSRNOG00000014030.7:protein_coding",22.9945099261885,2.15605257731201,0.81967302079092,69.7468044109894,4.83586429544191e-15,1.23788457264543e-12
