"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOT00000075682.1-ENSRNOG00000046365.1:protein_coding",37.3803901761206,4.49569927861855,0.718752773522078,6.25486181651646,3.97868032659803e-10,8.1326001578951e-07
"ENSRNOT00000076658.2-ENSRNOG00000051179.2:retained_intron",1438.23698598954,3.719940208699,0.602770482382466,6.17140407074322,6.76861936451894e-10,8.1326001578951e-07
"ENSRNOT00000075503.1-ENSRNOG00000049271.1:protein_coding",455.445914507533,3.82316317601701,0.623665001031216,6.13015508276959,8.77934525861292e-10,8.1326001578951e-07
"ENSRNOT00000027493.7-ENSRNOG00000020272.7:protein_coding",855.8283196518,3.75778816187873,0.619567240535372,6.06518214008798,1.31804196497809e-09,9.1570965516853e-07
"ENSRNOT00000058943.4-ENSRNOG00000017127.6:protein_coding",145.07128367801,3.1507917987287,0.524450339905743,6.00779818217865,1.88059726630275e-09,1.04523596061107e-06
"ENSRNOT00000057158.3-ENSRNOG00000037673.3:protein_coding",144.909796464731,3.14906682828161,0.528722788309135,5.95598846486716,2.58504564358601e-09,1.19730697392092e-06
"ENSRNOT00000011069.6-ENSRNOG00000008063.6:protein_coding",741.510599833067,3.32531309279509,0.569331095741115,5.84073681847017,5.19704503258294e-09,1.55255328848519e-06
"ENSRNOT00000061417.4-ENSRNOG00000039969.4:protein_coding",15.3069100029017,5.48888848055384,0.941392224128453,5.83060741301054,5.52259758531717e-09,1.55255328848519e-06
"ENSRNOT00000082891.1-ENSRNOG00000039969.4:protein_coding",15.3069100029017,5.48888848055384,0.941392224128453,5.83060741301054,5.52259758531717e-09,1.55255328848519e-06
"ENSRNOT00000077248.1-ENSRNOG00000042411.3:protein_coding",38.9553271389246,7.41694962844866,1.27249204796048,5.8286805330818,5.58673367572937e-09,1.55255328848519e-06
"ENSRNOT00000064643.1-ENSRNOG00000020544.5:protein_coding",51.3462526923504,3.81202489966741,0.656800660971286,5.80392975553668,6.47784238520442e-09,1.55575252944947e-06
"ENSRNOT00000043626.3-ENSRNOG00000033893.4:protein_coding",284.41534811912,3.33808297942443,0.575747068986914,5.7978288717963,6.7178950533982e-09,1.55575252944947e-06
"ENSRNOT00000027727.2-ENSRNOG00000020455.2:protein_coding",28.6604688247018,5.41018163266913,0.940107451786939,5.75485453538907,8.67164322856286e-09,1.85373050247509e-06
"ENSRNOT00000077651.1-ENSRNOG00000055371.1:protein_coding",102.464371293975,2.9094598268148,0.506775601004719,5.74112056903803,9.40520945684436e-09,1.86693407718361e-06
"ENSRNOT00000085362.1-ENSRNOG00000057701.1:protein_coding",15.1979075078369,5.48894643256917,0.958361550368752,5.72742763986845,1.01964906300115e-08,1.8747508500843e-06
"ENSRNOT00000047466.3-ENSRNOG00000001149.8:protein_coding",1983.46945717004,3.2313777467042,0.566115744037111,5.70798071019974,1.14324373140137e-08,1.8747508500843e-06
