"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-429",19.9472700430547,3.27751632628677,0.425454569833968,64.1291420316693,7.70232741943355e-14,6.16186193554684e-12
"rno-miR-200b-3p",48.7856142432899,2.88793396194328,0.363239566218709,60.435828252236,4.74383496939891e-13,1.89753398775956e-11
"rno-miR-10a-5p",114.35727102468,2.59695880286906,0.359571534672782,59.0681640715466,9.29612928412502e-13,2.47896780910001e-11
"rno-miR-221-3p",29.4173113812852,3.78479710349822,0.508133211265557,58.1285687391926,1.47558399836658e-12,2.95116799673316e-11
"rno-miR-205",31.13048327156,3.20307539409807,0.507004502173643,44.3392847181321,1.27839230383972e-09,2.04542768614356e-08
"rno-miR-22-3p",54.7085650104933,2.41306525428917,0.485495545630793,42.1150290595443,3.79283446442665e-09,5.05711261923553e-08
"rno-miR-145-5p",289.324479469883,1.63287524187544,0.35630411557371,34.6466102706091,1.44672868821447e-07,1.65340421510225e-06
"rno-miR-23a-3p",108.38652947343,1.76838387466798,0.340275258960172,32.4929346133794,4.11984251695802e-07,4.11984251695802e-06
"rno-miR-10b-5p",91.1628493116769,1.44506793001443,0.292337231223356,31.573113011985,6.43781755547671e-07,5.72250449375707e-06
"rno-miR-24-3p",58.1967867223015,2.00698169935303,0.440225551626441,30.3081283006022,1.18870052833549e-06,9.50960422668394e-06
"rno-miR-99a-5p",63.5619036490501,1.04968648105337,0.326508770918846,28.3760118711247,3.02838080920855e-06,2.20245877033349e-05
"rno-miR-29a-3p",87.5367442071429,1.79644669845626,0.361240499398528,27.7975919079159,4.00524881891936e-06,2.67016587927957e-05
"rno-miR-320-3p",14.778139703473,2.2960884732873,0.599309893096175,24.3879333792557,2.07289804523154e-05,0.000127562956629633
"rno-miR-871-3p",8.09010330770937,2.65985739407306,0.565270147451733,22.9401669811518,4.15594237641355e-05,0.000237482421509346
"rno-miR-34c-3p",215.40806247553,-1.80971474816455,0.385275389824159,21.6715315387108,7.63447008174166e-05,0.000407171737692888
"rno-miR-17-5p",30.3545630065268,-1.54176029239788,0.409687457831648,21.5060082595911,8.26405377092994e-05,0.000413202688546497
"rno-let-7c-5p",163.307518161803,1.94492175181847,0.422646386925966,21.2669488398683,9.26567731741465e-05,0.00043603187376069
"rno-miR-16-5p",783.97264980748,-0.814309485993006,0.231011412281489,19.9798337010076,0.000171383736128047,0.000761705493902433
