"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-221-3p",29.4173113812852,3.54509493196918,0.500998972440723,7.07605230146181,1.48318903413954e-12,1.18655122731164e-10
"rno-miR-200b-3p",48.7856142432899,2.20786435852042,0.359499557454005,6.14149395386362,8.17489379242882e-10,3.26995751697153e-08
"rno-miR-429",19.9472700430547,2.46121476159201,0.419608493443116,5.86550272468607,4.47773913426196e-09,9.53879110784241e-08
"rno-miR-205",31.13048327156,2.92857123461659,0.500488916102925,5.85142076156255,4.87391473841385e-09,9.53879110784241e-08
"rno-miR-10a-5p",114.35727102468,2.08064209037499,0.357632150044509,5.81782731255019,5.9617444424015e-09,9.53879110784241e-08
"rno-miR-24-3p",58.1967867223015,2.34332277639755,0.432226085732933,5.42152094412334,5.90940717701731e-08,7.87920956935641e-07
"rno-miR-145-5p",289.324479469883,1.90685333484406,0.354327548416159,5.3816118542509,7.38218092533796e-08,8.43677820038624e-07
"rno-miR-23a-3p",108.38652947343,1.72875818714842,0.335977742093246,5.14545450653284,2.66873873219646e-07,2.66873873219646e-06
"rno-miR-22-3p",54.7085650104933,2.40168893242013,0.480463667163304,4.99869000834109,5.77211107497516e-07,5.13076539997792e-06
"rno-miR-320-3p",14.778139703473,2.78132383846692,0.574202276775684,4.84380496379235,1.27375970478001e-06,1.01900776382401e-05
"rno-let-7c-5p",163.307518161803,1.68978619488037,0.420660603782976,4.01698228853433,5.8948152643699e-05,0.000415556836851293
"rno-miR-99a-5p",63.5619036490501,1.27113411811778,0.317482059508565,4.00379826212981,6.23335255276939e-05,0.000415556836851293
"rno-miR-29a-3p",87.5367442071429,1.3442472663315,0.358153890325749,3.7532672480784,0.000174544596589671,0.00107412059439797
"rno-miR-10b-5p",91.1628493116769,1.05430660479483,0.288294591854571,3.65704607225748,0.000255138535513596,0.00145793448864912
"rno-miR-30d-5p",233.25893050022,0.796323004377309,0.220585106728561,3.61004882055441,0.000306139378953168,0.00157353437838109
