"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-221-3p",29.4173113812852,3.54475876878806,0.509464324280567,6.9578154933493,3.45589400109892e-12,6.56619860208795e-10
"rno-miR-200b-3p",48.7856142432899,2.20791484636565,0.359236392516365,6.14613355539992,7.93944409388555e-10,7.54247188919128e-08
"rno-miR-429",19.9472700430547,2.46178608917596,0.422390190523728,5.82822741722187,5.60192051888837e-09,2.71413107428207e-07
"rno-miR-10a-5p",114.35727102468,2.08065859986998,0.357199450133093,5.82492106047399,5.71396015638331e-09,2.71413107428207e-07
"rno-miR-205",31.13048327156,2.92917255531689,0.510932674611987,5.73299125475067,9.86747230646547e-09,3.74963947645688e-07
"rno-miR-145-5p",289.324479469883,1.90688644350684,0.35346100575653,5.39489904812962,6.85620896614224e-08,1.88676326455025e-06
"rno-miR-148a-3p",7.38129832023513,4.67084612321201,0.868365628382452,5.37889337226834,7.49450773159542e-08,1.88676326455025e-06
"rno-miR-24-3p",58.1967867223015,2.34344619556115,0.436526824378182,5.36838990112306,7.94426637705368e-08,1.88676326455025e-06
"rno-miR-23a-3p",108.38652947343,1.7288626406267,0.334493174606147,5.16860364239831,2.35849484304036e-07,4.97904466864077e-06
"rno-miR-22-3p",54.7085650104933,2.40147964585846,0.488855320899992,4.91245475540143,8.9943142682434e-07,1.70891971096625e-05
"rno-miR-27a-3p",9.23401292752035,3.30507659529929,0.684320057510979,4.82972340065638,1.36722841273355e-06,2.36157634926705e-05
"rno-miR-451-5p",21.7035254021788,3.55810860111362,0.7419763811906,4.79544725588725,1.62312274334305e-06,2.5699443436265e-05
"rno-miR-320-3p",14.778139703473,2.78813665604111,0.588452892936518,4.73807961437262,2.15753052976348e-06,3.15331385119278e-05
"rno-miR-107-3p",4.7926700503624,2.34735847497042,0.536275268952266,4.37715220311486,1.20240012120257e-05,0.000163182873591777
"rno-miR-200a-3p",12.1610652497539,3.26205401047497,0.758422340444315,4.30110485480152,1.69948613173248e-05,0.00021526824335278
"rno-miR-99a-5p",63.5619036490501,1.27090635933744,0.315324306054715,4.03047381674696,5.56645297364609e-05,0.000661016290620474
"rno-let-7c-5p",163.307518161803,1.68962946429634,0.423439063243708,3.99025411437745,6.60025425041501e-05,0.000737675475046383
"rno-miR-223-3p",21.0405753135203,2.50417269774913,0.648830782328018,3.8595158644664,0.000113611881768413,0.00119923652977769
"rno-miR-29a-3p",87.5367442071429,1.34426449836069,0.357985619866365,3.7550796002993,0.000173286396448913,0.00173286396448913
"rno-miR-30d-5p",233.25893050022,0.795842191259816,0.213465669156822,3.72819758045099,0.000192854156056753,0.00179516991538464
"rno-miR-10b-5p",91.1628493116769,1.05489449578521,0.283505394197844,3.72089744101677,0.000198516052391903,0.00179516991538464
"rno-miR-16-5p",783.97264980748,-0.826226846455642,0.222746782813327,-3.70926500495435,0.000207861779676117,0.00179516991538464
"rno-miR-30a-5p",47.8873102692956,1.14755606255532,0.332664262644775,3.44959225085354,0.000561433866065174,0.00463793193706013
"rno-miR-214-3p",12.5217611285714,2.66827237110385,0.79065201229894,3.37477465382709,0.000738761570462782,0.00562532771076
"rno-miR-322-5p",1.99999751759801,4.22998773189215,1.25360877035439,3.37424867464541,0.00074017469878421,0.00562532771076
"rno-miR-150-5p",13.2092845712698,2.11457402602745,0.629617792527543,3.35850424038795,0.00078365518908519,0.005726710997161
"rno-miR-871-3p",8.09010330770937,1.8729405109484,0.568301395684292,3.2956817019483,0.000981831877964256,0.0069091872893781
"rno-miR-100-5p",4.72958663846495,2.17435808446454,0.666456095662687,3.26256762990889,0.0011040782552607,0.00749195958926905
"rno-miR-3580-3p",100.066381540052,-0.85275395210621,0.263400372681529,-3.2374819497209,0.00120589567926539,0.00790069582966979
"rno-miR-365-3p",7.72493220176746,1.89770883349027,0.591483391212005,3.20838904639687,0.00133480801531359,0.00845378409698604
"rno-let-7b-5p",79.3307209432788,1.26630191912824,0.398643083786536,3.17653051220705,0.00149048109623897,0.00913520671888399
"rno-miR-17-5p",30.3545630065268,-1.1785140928129,0.377508593680895,-3.12182056922679,0.00179736447592678,0.0106718515758152
"rno-miR-20a-5p",125.525331566723,-0.894921435092037,0.290720833362808,-3.07828449973934,0.00208196049058068,0.0119870452487979
"rno-miR-181a-5p",21.5513481669884,2.23839764816785,0.741037355137003,3.02062727695288,0.00252251665440778,0.0140658759199553
"rno-miR-143-3p",14.0285329695345,1.51828208751044,0.50501267170096,3.00642374456989,0.00264340345146739,0.0140658759199553
"rno-miR-195-5p",11.1107676238942,1.9796649137494,0.659712598675142,3.00079901115278,0.00269272235274354,0.0140658759199553
"rno-miR-339-5p",2.38605249256246,3.1936523069036,1.07295471796752,2.97650241284485,0.00291556788027556,0.0140658759199553
"rno-miR-99b-5p",10.4772564885699,2.09295063481263,0.703916686934842,2.97329310933974,0.00294622953639734,0.0140658759199553
"rno-miR-210-3p",1.66822148906741,4.65107586459618,1.56448823765427,2.9729056138957,0.00294995150558888,0.0140658759199553
"rno-miR-449a-5p",215.369870133058,-0.701533079527867,0.236068646252253,-2.97173339477805,0.00296123703578007,0.0140658759199553
"rno-miR-652-3p",8.45751137512469,2.45298442922572,0.839477551218216,2.92203695699313,0.00347750274555265,0.0161152566257318
"rno-let-7d-5p",18.8127934190388,1.31239327145503,0.450316684403702,2.9143785182929,0.00356397488128078,0.0161227435105559
"rno-miR-672-5p",35.2055815074031,1.47075613290748,0.514367560978471,2.85934853689002,0.00424512085859788,0.0187575107705488
"rno-miR-193b-3p",1.43280917250884,4.40453454320572,1.5546073661735,2.83321347823471,0.00460825993231598,0.0198993042531827
"rno-miR-7a-5p",186.866298866409,-0.71382446151207,0.257587390762013,-2.77119333908537,0.00558512533293376,0.0230974148711082
"rno-miR-509-5p",1.05514494337074,4.25445098899314,1.53546360961812,2.77079245795428,0.00559200570563672,0.0230974148711082
"rno-miR-34a-5p",12.6063468585231,1.71495888178546,0.635138250227253,2.70013478352445,0.00693113897652812,0.02801949799022
"rno-miR-151-5p",88.465041334295,-0.469536976175958,0.176710192618794,-2.65710182993723,0.0078815632255311,0.0311978544343939
"rno-miR-23b-3p",46.4883283094697,0.787692120217076,0.301452762871004,2.6129868995566,0.00897547425790852,0.0348028593674004
