name,Library_01,Library_02,Library_03,Library_04,Library_05,Library_06,Library_07,Library_08,Library_09,Library_10,Library_11,Library_12,Library_13,Library_14,Library_15,Library_16,Library_17,Library_18,Library_19,Library_20,Library_21,Library_22,Library_23,Library_24,Library_25,Library_26,Library_27,Library_28,Library_29,Library_30,Library_31,Library_32,Library_33,Library_34,Library_35,Library_36,Library_38,Library_39,Library_40
ENSRNOT00000002030.7-ENSRNOG00000001482.7:processed_transcript,2.0,0.0,0.0,8.0,15.0,2.0,41.0,25.0,3.0,0.0,4.0,7.0,0.0,33.0,61.0,17.0,2.0,0.0,0.0,3.0,4.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,32.0,58.0,0.0,0.0,5.0,3.0,226.0,48.0,12.0
ENSRNOT00000003443.7-ENSRNOG00000038970.5:processed_transcript,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOT00000003689.8-ENSRNOG00000002750.8:processed_transcript,15.0,1.0,3.0,9.0,5.0,6.0,8.0,6.0,2.0,0.0,28.0,9.0,0.0,9.0,18.0,6.0,15.0,19.0,13.0,3.0,21.0,55.0,4.0,0.0,10.0,7.0,14.0,20.0,26.0,8.0,28.0,30.0,0.0,0.0,2.0,13.0,64.0,2.0,5.0
ENSRNOT00000007070.8-ENSRNOG00000005323.8:processed_transcript,4.0,0.0,0.0,0.0,5.0,0.0,16.0,2.0,0.0,0.0,7.0,1.0,0.0,3.0,10.0,14.0,2.0,0.0,11.0,0.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,0.0,0.0,0.0,11.0,47.0,4.0,1.0
ENSRNOT00000008688.7-ENSRNOG00000006617.7:processed_transcript,4.0,0.0,0.0,8.0,18.0,0.0,2.0,11.0,6.0,0.0,3.0,4.0,0.0,3.0,17.0,9.0,5.0,0.0,17.0,0.0,33.0,11.0,0.0,0.0,2.0,2.0,6.0,13.0,29.0,8.0,12.0,7.0,2.0,0.0,3.0,0.0,3.0,3.0,6.0
ENSRNOT00000023028.7-ENSRNOG00000016997.8:processed_transcript,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ENSRNOT00000023617.5-ENSRNOG00000023566.5:processed_transcript,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOT00000030545.7-ENSRNOG00000025244.7:processed_transcript,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
ENSRNOT00000040038.3-ENSRNOG00000030478.3:Mt_rRNA,492898.0,422905.0,296816.0,520258.0,199400.0,114869.0,61326.0,142703.0,828113.0,361414.0,304879.0,310907.0,720627.0,154556.0,258694.0,299409.0,873781.0,349318.0,292554.0,111596.0,541789.0,162095.0,17564.0,5726.0,1418159.0,192046.0,755602.0,1133293.0,709726.0,391079.0,121915.0,92750.0,23094.0,288283.0,308294.0,153229.0,52308.0,101224.0,128160.0
ENSRNOT00000047162.3-ENSRNOG00000033957.3:Mt_tRNA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOT00000048985.5-ENSRNOG00000033581.5:processed_transcript,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSRNOT00000052439.3-ENSRNOG00000034316.3:rRNA,8.0,5.0,5.0,26.0,59.0,1.0,62.0,49.0,8.0,6.0,7.0,23.0,4.0,91.0,64.0,37.0,5.0,2.0,55.0,15.0,119.0,153.0,9.0,2.0,3.0,7.0,15.0,22.0,118.0,62.0,59.0,152.0,0.0,5.0,39.0,15.0,144.0,46.0,21.0
ENSRNOT00000052473.1-ENSRNOG00000034350.1:rRNA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
ENSRNOT00000052626.3-ENSRNOG00000034503.3:rRNA,1.0,2.0,2.0,8.0,11.0,0.0,13.0,11.0,4.0,3.0,1.0,5.0,1.0,26.0,25.0,13.0,2.0,1.0,7.0,4.0,16.0,44.0,2.0,1.0,1.0,0.0,5.0,4.0,23.0,6.0,17.0,25.0,0.0,2.0,4.0,6.0,25.0,7.0,4.0
ENSRNOT00000052795.3-ENSRNOG00000055521.1:rRNA,8.0,5.0,5.0,28.0,69.0,1.0,65.0,54.0,10.0,7.0,8.0,24.0,5.0,100.0,74.0,40.0,5.0,3.0,57.0,15.0,122.0,167.0,9.0,2.0,3.0,7.0,15.0,23.0,128.0,63.0,63.0,161.0,0.0,6.0,40.0,17.0,153.0,48.0,21.0
ENSRNOT00000052895.1-ENSRNOG00000034772.1:rRNA,4.0,7.0,0.0,14.0,9.0,23.0,98.0,57.0,2.0,0.0,23.0,9.0,4.0,36.0,79.0,17.0,10.0,2.0,11.0,2.0,33.0,68.0,7.0,1.0,6.0,9.0,7.0,20.0,58.0,20.0,36.0,69.0,0.0,2.0,5.0,4.0,220.0,10.0,28.0
ENSRNOT00000052922.1-ENSRNOG00000034799.1:rRNA,4.0,5.0,0.0,11.0,9.0,21.0,97.0,54.0,2.0,0.0,23.0,8.0,4.0,34.0,75.0,17.0,9.0,2.0,11.0,2.0,32.0,66.0,7.0,1.0,6.0,9.0,6.0,18.0,55.0,16.0,36.0,66.0,0.0,2.0,5.0,4.0,215.0,10.0,26.0
ENSRNOT00000052983.1-ENSRNOG00000045650.1:rRNA,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0
