name,Library_01,Library_02,Library_03,Library_04,Library_05,Library_06,Library_07,Library_08,Library_09,Library_10,Library_11,Library_12,Library_13,Library_14,Library_15,Library_16,Library_17,Library_18,Library_19,Library_20,Library_21,Library_22,Library_23,Library_24,Library_25,Library_26,Library_27,Library_28,Library_29,Library_30,Library_31,Library_32,Library_33,Library_34,Library_35,Library_36,Library_38,Library_39,Library_40
rno-let-7a-1-3p,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-let-7a-5p,618.0,303.0,189.0,851.0,308.0,18.0,21.0,81.0,742.0,159.0,152.0,153.0,198.0,106.0,70.0,280.0,331.0,416.0,812.0,196.0,1131.0,202.0,22.0,12.0,248.0,233.0,527.0,379.0,554.0,415.0,71.0,108.0,37.0,409.0,856.0,123.0,73.0,215.0,58.0
rno-let-7b-5p,79.0,32.0,32.0,331.0,146.0,3.0,11.0,53.0,173.0,19.0,90.0,71.0,35.0,59.0,36.0,35.0,58.0,85.0,281.0,77.0,427.0,128.0,10.0,13.0,48.0,85.0,106.0,75.0,311.0,107.0,34.0,79.0,14.0,52.0,370.0,47.0,68.0,130.0,19.0
rno-let-7c-2-3p,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-let-7c-5p,123.0,79.0,49.0,600.0,331.0,6.0,35.0,76.0,341.0,34.0,111.0,104.0,61.0,79.0,51.0,87.0,124.0,116.0,640.0,164.0,914.0,304.0,32.0,10.0,56.0,88.0,177.0,160.0,772.0,206.0,96.0,142.0,22.0,107.0,588.0,106.0,115.0,258.0,57.0
rno-let-7d-3p,10.0,0.0,6.0,19.0,12.0,0.0,0.0,0.0,15.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,9.0,0.0,15.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,9.0,14.0,19.0,3.0,0.0,4.0,0.0,0.0,9.0,0.0,2.0,4.0,0.0
rno-let-7d-5p,11.0,16.0,9.0,157.0,80.0,2.0,4.0,13.0,99.0,3.0,12.0,10.0,7.0,10.0,8.0,13.0,28.0,18.0,65.0,18.0,117.0,29.0,0.0,0.0,8.0,13.0,36.0,47.0,111.0,25.0,0.0,23.0,0.0,10.0,52.0,11.0,8.0,34.0,4.0
rno-let-7e-5p,29.0,23.0,11.0,102.0,46.0,0.0,0.0,4.0,53.0,2.0,14.0,10.0,8.0,2.0,0.0,6.0,14.0,10.0,26.0,14.0,44.0,12.0,3.0,0.0,6.0,4.0,22.0,20.0,45.0,12.0,0.0,7.0,2.0,7.0,28.0,4.0,8.0,9.0,5.0
rno-let-7f-2-3p,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rno-let-7f-5p,140.0,58.0,31.0,284.0,230.0,3.0,6.0,23.0,212.0,26.0,28.0,30.0,45.0,38.0,28.0,45.0,44.0,39.0,145.0,31.0,313.0,61.0,11.0,0.0,47.0,47.0,136.0,84.0,166.0,78.0,8.0,52.0,12.0,68.0,287.0,16.0,14.0,120.0,19.0
