name	Library_30	Library_34	Library_01	Library_18	Library_10	Library_33	Library_09	Library_02	Library_40	Library_25	Library_20	Library_26	Library_17	Library_04	Library_12	Library_11	Library_35	Library_03	Library_19	Library_36	Library_27	Library_28	Library_14	Library_29	Library_38	Library_22	Library_05	Library_06	Library_21	Library_13	Library_08	Library_24	Library_16	Library_23	Library_31	Library_32	Library_15	Library_07	Library_39
rno-miR-34b-5p	145	151	373	221	114	5	621	383	28	299	28	61	197	379	73	82	687	177	192	7	653	200	58	304	64	41	395	10	317	107	53	0	137	4	2	127	157	13	135
rno-miR-26b-5p	19	26	52	19	17	2	65	18	7	29	17	5	25	99	13	10	67	23	42	7	47	28	3	44	0	2	34	0	44	17	9	0	2	0	3	5	0	0	13
rno-miR-200b-3p	102	27	38	16	18	4	68	16	21	11	43	10	25	163	45	19	193	12	147	13	91	62	51	157	29	62	82	0	355	22	32	0	38	6	38	109	31	6	132
rno-let-7e-5p	12	7	29	10	2	2	53	23	5	6	14	4	14	102	10	14	28	11	26	4	22	20	2	45	8	12	46	0	44	8	4	0	6	3	0	7	0	0	9
rno-miR-27b-3p	9	9	33	13	6	0	38	21	1	20	2	6	11	116	9	9	59	14	22	5	28	31	8	50	22	11	64	0	42	11	9	0	6	2	2	24	7	0	37
rno-miR-19b-3p	772	360	1426	1093	628	30	2048	710	41	1557	240	520	650	1569	515	817	2106	632	1257	18	2205	786	212	1333	201	165	810	107	1959	636	207	0	404	56	47	289	245	18	301
rno-miR-24-3p	43	11	47	27	10	5	191	17	18	30	23	21	50	282	19	75	111	16	155	15	125	113	20	559	143	60	213	8	207	19	36	2	24	5	12	80	23	21	81
rno-miR-449a-5p	277	303	974	530	412	20	1453	836	66	478	103	150	357	940	237	211	920	472	340	35	1052	326	155	420	104	38	534	23	600	230	81	0	241	7	43	185	138	6	213
rno-miR-34b-3p	2220	1915	5731	1233	995	190	3663	1496	149	3501	300	865	2642	2523	921	1579	3524	1308	2575	101	2698	1954	363	2185	221	375	823	196	2818	1586	294	7	507	41	155	277	283	64	429
rno-miR-204-5p	26	37	145	47	46	18	179	42	2	69	14	18	56	88	29	16	86	40	60	17	83	29	10	104	3	15	70	2	77	43	13	0	8	0	4	8	0	0	10
rno-miR-30a-5p	52	43	94	46	54	0	131	43	13	63	36	24	47	264	63	31	226	36	92	10	123	108	44	222	72	35	297	0	214	31	42	0	35	2	8	50	25	0	117
rno-miR-145-5p	375	171	234	121	157	30	447	246	158	310	164	135	310	659	145	239	630	106	645	73	394	623	236	3385	495	187	1247	26	1153	184	234	4	132	7	88	739	153	31	301
rno-miR-23a-3p	106	48	133	62	32	4	362	44	42	59	76	51	118	462	78	77	195	49	268	35	181	263	82	890	146	97	387	7	441	61	71	4	56	12	41	128	48	35	145
rno-miR-34c-5p	576	420	1065	936	461	16	2522	1463	76	942	109	189	927	1472	442	384	1661	762	694	22	2660	727	187	995	285	97	665	34	1354	386	142	2	311	13	39	352	311	23	339
rno-miR-200c-3p	129	105	135	96	50	2	236	134	19	99	57	38	156	241	109	46	253	63	216	43	213	120	50	195	23	55	88	2	454	88	28	2	76	5	44	100	24	8	123
rno-miR-103-3p	74	83	188	90	88	2	302	112	6	115	29	42	122	374	79	46	146	79	111	15	240	121	48	214	29	43	205	3	182	60	25	0	40	2	12	52	36	8	43
rno-let-7f-5p	78	68	140	39	26	12	212	58	19	47	31	47	44	284	30	28	287	31	145	16	136	84	38	166	14	61	230	3	313	45	23	0	45	11	8	52	28	6	120
