rRNA_name,position,total_coverage
12S-rRNA,1,323411
12S-rRNA,2,323411
12S-rRNA,3,323411
12S-rRNA,4,323411
12S-rRNA,5,323411
12S-rRNA,6,323411
12S-rRNA,7,323411
12S-rRNA,8,323411
12S-rRNA,9,323411
12S-rRNA,10,323411
12S-rRNA,11,323411
12S-rRNA,12,323411
12S-rRNA,13,323411
12S-rRNA,14,323411
12S-rRNA,15,323411
12S-rRNA,16,322721
12S-rRNA,17,321881
12S-rRNA,18,321149
12S-rRNA,19,320195
12S-rRNA,20,319816
12S-rRNA,21,318084
12S-rRNA,22,317721
12S-rRNA,23,317474
12S-rRNA,24,317103
12S-rRNA,25,316879
12S-rRNA,26,316629
12S-rRNA,27,316200
12S-rRNA,28,315258
12S-rRNA,29,314707
12S-rRNA,30,314467
12S-rRNA,31,314034
12S-rRNA,32,313444
12S-rRNA,33,313089
12S-rRNA,34,311224
12S-rRNA,35,310697
12S-rRNA,36,309479
12S-rRNA,37,307690
12S-rRNA,38,299754
12S-rRNA,39,271102
12S-rRNA,40,265257
12S-rRNA,41,238665
12S-rRNA,42,233345
12S-rRNA,43,216078
12S-rRNA,44,199298
12S-rRNA,45,195315
12S-rRNA,46,192206
12S-rRNA,47,186879
12S-rRNA,48,181292
12S-rRNA,49,169776
12S-rRNA,50,161376
12S-rRNA,51,132255
12S-rRNA,52,124322
12S-rRNA,53,107712
12S-rRNA,54,95636
12S-rRNA,55,89291
12S-rRNA,56,76035
12S-rRNA,57,66256
12S-rRNA,58,60396
12S-rRNA,59,57406
12S-rRNA,60,55149
12S-rRNA,61,53642
12S-rRNA,62,51271
12S-rRNA,63,50671
12S-rRNA,64,49875
12S-rRNA,65,49906
12S-rRNA,66,51593
12S-rRNA,67,52103
12S-rRNA,68,53200
12S-rRNA,69,55549
12S-rRNA,70,56977
12S-rRNA,71,57373
12S-rRNA,72,53430
12S-rRNA,73,42956
12S-rRNA,74,38400
12S-rRNA,75,37615
12S-rRNA,76,38707
12S-rRNA,77,40570
12S-rRNA,78,43736
12S-rRNA,79,47018
12S-rRNA,80,49900
12S-rRNA,81,50679
12S-rRNA,82,52767
12S-rRNA,83,56956
