name,Library_01,Library_02,Library_03,Library_04,Library_05,Library_06,Library_07,Library_08,Library_09,Library_10,Library_11,Library_12,Library_13,Library_14,Library_15,Library_16,Library_17,Library_18,Library_19,Library_20,Library_21,Library_22,Library_23,Library_24,Library_25,Library_26,Library_27,Library_28,Library_29,Library_30,Library_31,Library_32,Library_33,Library_34,Library_35,Library_36,Library_38,Library_39,Library_40
Rattus_norvegicus_chr1.trna10113-ArgTCT:tRNA,12503.0,21801.0,10070.0,15683.0,12412.0,7797.0,1510.0,5711.0,20009.0,15350.0,16736.0,11765.0,4052.0,7597.0,9802.0,9331.0,11500.0,8748.0,8818.0,2756.0,8676.0,3597.0,1619.0,65.0,6896.0,9196.0,14870.0,11086.0,15412.0,9335.0,3227.0,8935.0,1102.0,9683.0,15574.0,1905.0,12356.0,3593.0,1755.0
Rattus_norvegicus_chr1.trna10114-LeuTAA:tRNA,1001.0,4365.0,2062.0,3026.0,2143.0,408.0,250.0,1044.0,1656.0,2174.0,1515.0,1885.0,375.0,1139.0,2185.0,1485.0,1798.0,1488.0,1587.0,582.0,2545.0,515.0,220.0,10.0,722.0,424.0,1886.0,3111.0,2036.0,1163.0,640.0,1886.0,39.0,1315.0,2159.0,272.0,3063.0,1126.0,414.0
Rattus_norvegicus_chr1.trna10115-LysTTT:tRNA,4798.0,8153.0,5048.0,8557.0,8889.0,1670.0,2774.0,4878.0,9020.0,7103.0,8603.0,6731.0,1795.0,5541.0,7583.0,7757.0,4680.0,5440.0,5099.0,1847.0,6169.0,4499.0,655.0,67.0,3653.0,2764.0,8437.0,6750.0,9704.0,6586.0,2167.0,8355.0,259.0,4239.0,12576.0,1150.0,11503.0,4852.0,2608.0
Rattus_norvegicus_chr1.trna10567-SerGCT:tRNA,352612.0,674906.0,447947.0,528664.0,269269.0,148784.0,21104.0,165515.0,397061.0,431813.0,244118.0,300521.0,108458.0,145037.0,190471.0,214943.0,526835.0,344348.0,320596.0,113992.0,350000.0,54462.0,31209.0,2530.0,203159.0,124564.0,409573.0,566861.0,406641.0,224074.0,98218.0,176378.0,13334.0,181083.0,171511.0,55945.0,169826.0,50845.0,39427.0
Rattus_norvegicus_chr1.trna11779-LeuTAG:tRNA,19184.0,54784.0,29110.0,40130.0,26543.0,41197.0,23615.0,33242.0,33967.0,32417.0,46435.0,28565.0,14299.0,29814.0,69297.0,27968.0,37820.0,26145.0,30142.0,12543.0,44784.0,36554.0,10079.0,791.0,24253.0,16070.0,31881.0,47910.0,62098.0,21954.0,21911.0,44471.0,1804.0,15634.0,27024.0,10891.0,88762.0,12156.0,17469.0
Rattus_norvegicus_chr1.trna12550-ProAGG:tRNA,1629.0,4452.0,2177.0,4396.0,3030.0,615.0,1724.0,3563.0,3103.0,2710.0,1055.0,2355.0,810.0,4393.0,4611.0,3722.0,2180.0,1571.0,2311.0,757.0,2368.0,1817.0,420.0,80.0,1009.0,949.0,2941.0,1999.0,3996.0,2059.0,2500.0,6263.0,103.0,1531.0,2067.0,943.0,3013.0,1601.0,1171.0
Rattus_norvegicus_chr1.trna14184-ThrAGT:tRNA,38.0,86.0,27.0,79.0,130.0,33.0,740.0,331.0,86.0,45.0,70.0,159.0,14.0,292.0,480.0,273.0,50.0,33.0,118.0,50.0,238.0,340.0,78.0,4.0,40.0,37.0,73.0,61.0,284.0,72.0,369.0,541.0,1.0,38.0,112.0,17.0,641.0,222.0,173.0
Rattus_norvegicus_chr1.trna15620-ArgCCT:tRNA,509.0,1106.0,464.0,933.0,652.0,437.0,670.0,516.0,1046.0,525.0,644.0,555.0,204.0,658.0,947.0,658.0,697.0,401.0,532.0,167.0,659.0,441.0,121.0,7.0,423.0,391.0,942.0,585.0,1172.0,598.0,354.0,929.0,40.0,376.0,681.0,135.0,968.0,352.0,226.0
Rattus_norvegicus_chr1.trna16347-GluCTC:tRNA,2162.0,2432.0,1880.0,3964.0,8947.0,5918.0,6500.0,7063.0,3838.0,2386.0,7568.0,5797.0,2140.0,8281.0,10832.0,11427.0,2855.0,2409.0,6951.0,3380.0,10770.0,8515.0,3408.0,512.0,3169.0,4029.0,3054.0,6740.0,9743.0,4021.0,7052.0,8851.0,408.0,1959.0,7036.0,6588.0,23898.0,8644.0,7315.0
Rattus_norvegicus_chr1.trna16829-LeuTAA:tRNA,26117.0,71185.0,33488.0,46177.0,28213.0,6829.0,1485.0,12190.0,32608.0,38055.0,26312.0,27052.0,8490.0,13084.0,19520.0,18196.0,31906.0,23741.0,21908.0,8315.0,27515.0,4181.0,1623.0,129.0,15141.0,7471.0,32344.0,47534.0,26618.0,20600.0,6895.0,15061.0,1032.0,21512.0,26045.0,5574.0,19442.0,5413.0,3558.0
